,,,8/26/20,8/26/20,8/26/20,8/26/20,8/26/20,8/26/20,8/26/20,8/26/20,8/27/20,8/27/20,8/27/20,8/27/20,8/27/20,8/27/20,8/27/20,8/27/20,8/27/20,8/27/20,8/27/20,8/27/20,8/28/20,8/28/20,8/28/20,8/28/20,8/28/20,8/28/20,8/28/20,8/28/20,8/28/20,8/28/20,8/28/20,8/28/20,8/28/20,8/28/20,8/28/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/29/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/30/20,8/31/20,8/31/20,8/31/20,8/31/20,8/31/20,8/31/20,8/31/20,8/31/20
department,roles,ok for walk-up?,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00
Reg/Operations,general1,,,,,,,,,,,,,,1,1,1,2,2,2,2,0,2,2,2,2,2,2,4,4,4,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,2,2,,,,,,,,,,,,,
Reg/Operations,general2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAN/World 9,general,x,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,
VR,general,,1,,2,,,,,,,,,,2,2,2,2,2,2,2,2,1,2,2,3,3,3,3,4,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,4,4,4,4,4,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,1,2,3,4,4,4,3,3,2,2,,,,,,,,,,,,,
Arcade,general,x,,,,,,,,,,,,,,,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,,,,,,,,,,,,,
Safety,general,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
Artist/Vendor Liaison,general,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
Indie Liaison,general,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Top,general,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,
